,Muklas,Amrozi,Imron,Samudra,Dulmatin,Idris,Mubarok,Azahari,Ghoni,Arnasan,Rauf,Octavia,Hidayat,Junaedi,Patek,Feri,Sarijo
Muklas,0,2,2,1,1,5,0,1,1,0,0,0,0,0,1,0,1
Amrozi,2,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0
Imron,2,0,0,3,5,3,0,5,5,0,0,0,0,0,5,1,5
Samudra,1,2,3,0,2,5,2,2,2,2,2,2,2,2,2,0,2
Dulmatin,1,0,5,2,0,2,0,5,5,0,0,0,0,0,5,1,5
Idris,5,4,3,5,2,0,2,2,2,0,0,0,0,0,2,0,2
Mubarok,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Azahari,1,0,5,2,5,2,0,0,5,0,0,0,0,0,2,1,2
Ghoni,1,0,5,2,5,2,0,5,0,0,0,0,0,0,5,1,5
Arnasan,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0
Rauf,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0
Octavia,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0
Hidayat,0,0,0,2,0,0,0,0,0,2,2,2,0,2,0,0,0
Junaedi,0,0,0,2,0,0,0,0,0,2,2,2,2,0,0,0,0
Patek,1,0,5,2,5,2,0,2,5,0,0,0,0,0,0,1,5
Feri,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
Sarijo,1,0,5,2,5,2,0,2,5,0,0,0,0,0,5,1,0